english,hebrew
artistic,אָמָנוּתִי
as,כפי ש
Asian,אסייתי
aside,בַּצַד
ask,לִשְׁאוֹל
asleep,יָשֵׁן
aspect,אספקט
assault,תקיפה
assert,לִטעוֹן
assess,לְהַעֲרִיך
assessment,הערכה
asset,נכס
assign,לְהַקְצוֹת
assignment,מְשִׁימָה
assist,לסייע
assistance,סִיוּעַ
assistant,עוֹזֵר
associate,חָבֵר
association,אִרגוּן
assume,לְהַנִיחַ
assumption,הנחה
assure,לְהַבטִיחַ
at,בְּ-
athlete,אַתלֵט
athletic,אַתלֵטִי
atmosphere,אַטמוֹספֵרָה
attach,לְצַרֵף
attack,לִתְקוֹף
attempt,לְנַסוֹת
attend,השתתף
attention,תשומת הלב
attitude,יַחַס
attorney,"עו""ד"
attract,לִמְשׁוֹך
attractive,מוֹשֵׁך
attribute,תְכוּנָה
audience,קהל
author,מְחַבֵּר
authority,רָשׁוּת
auto,אוטומטי
available,זמין
average,מְמוּצָע
avoid,לְהִמָנַע
award,פרס
aware,מוּדָע
awareness,מוּדָעוּת
away,רָחוֹק
awful,נורא
baby,תִינוֹק
back,חזור
background,רקע כללי
bad,רַע
badly,רע
bag,תיק
bake,לֶאֱפוֹת
balance,איזון
ball,כַּדוּר
ban,לֶאֱסוֹר
band,לְהִתְאַגֵד
bank,בַּנק
bar,בָּר
barely,בקושי
barrel,חָבִית
barrier,מַחסוֹם
base,בסיס
baseball,בייסבול
basic,בסיסי
basically,בעיקרון
basis,בָּסִיס
basket,סַל
basketball,כדורסל
bathroom,חדר אמבטיה
battery,סוֹלְלָה
battle,קרב
be,לִהיוֹת
beach,החוף
bean,אפונה
bear,דוב
beat,להיות ב
beautiful,יפה
beauty,יוֹפִי
because,כי
become,הפכו
bed,מיטה
bedroom,חדר שינה
beer,בירה
before,לפני
begin,התחל
beginning,התחלה
behavior,התנהגות
behind,מֵאָחוֹר
being,להיות
belief,אמונה
believe,לְהֶאֱמִין
bell,פַּעֲמוֹן
belong,שייך
below,לְהַלָן
belt,חֲגוֹרָה
bench,סַפְסָל
bend,לְכּוֹפֵף
beneath,תַחַת
benefit,תועלת
beside,לְיַד
besides,חוץ מזה
best,הטוב ביותר
bet,לְהַמֵר
better,טוב יותר
between,בֵּין
beyond,מעבר
Bible,כִּתבֵי הַקוֹדֶשׁ
big,גָדוֹל
bike,אופניים
bill,שטר כסף
billion,מיליארד
bind,לִקְשׁוֹר
biological,בִּיוֹלוֹגִי
bird,ציפור
birth,הוּלֶדֶת
birthday,יום הולדת
bit,קצת
bite,נְשִׁיכָה
black,שָׁחוֹר
blade,להב
blame,אשמה
blanket,שְׂמִיכָה
blind,סומא
block,לַחסוֹם
blood,דָם
blow,לנשוף
blue,כָּחוֹל
board,גלשן
boat,סִירָה
body,גוּף
bomb,פְּצָצָה
bombing,הַפצָצָה
bond,אגרת חוב
bone,עֶצֶם
book,סֵפֶר
boom,בּוּם
boot,מַגָף
border,גבול
born,נוֹלָד
borrow,לִלווֹת
boss,בּוֹס
both,שניהם
bother,לְהטרִיד
bottle,בקבוק
bottom,תַחתִית
boundary,גְבוּל
bowl,קְעָרָה
box,קופסא
boy,יֶלֶד
boyfriend,הֶחָבֵר
brain,מוֹחַ
branch,ענף
brand,מותג
bread,לחם
break,לשבור
breakfast,ארוחת בוקר
breast,שד
breath,נְשִׁימָה
breathe,לִנְשׁוֹם
brick,לְבֵנָה
bridge,לְגַשֵׁר
brief,קָצָר
briefly,בקצרה
bright,בָּהִיר
brilliant,מַברִיק
bring,לְהָבִיא
British,בריטי
broad,רָחָב
broken,שָׁבוּר
brother,אָח
brown,חום
brush,מִברֶשֶׁת
buck,דוֹלָר
budget,תַקצִיב
build,לִבנוֹת
building,בִּניָן
bullet,כַּדוּר
bunch,צְרוֹר
burden,נטל
burn,לשרוף
bury,לִקְבּוֹר
bus,אוֹטוֹבּוּס
business,עֵסֶק
busy,עסוק
but,אבל
butter,חמאה
button,לַחְצָן
buy,לִקְנוֹת
buyer,קוֹנֶה
by,על ידי
cabin,תָא
cabinet,קבינט
cable,כֶּבֶל
cake,עוגה
calculate,לחשב
call,שִׂיחָה
camera,מַצלֵמָה
camp,מַחֲנֶה
campaign,קמפיין
campus,קַמפּוּס
can,פחית
Canadian,קנדי
cancer,סרטן
candidate,מוּעֲמָד
cap,כובע
capability,יכולת
capable,בעל יכולת
capacity,קיבולת
capital,עיר בירה
captain,סֶרֶן
capture,לִלְכּוֹד
car,אוטו
carbon,פַּחמָן
card,כַּרְטִיס
care,לְטַפֵּל
career,קריירה
careful,זָהִיר
carefully,בקפידה
carrier,מוֹבִיל
carry,לשאת
case,מקרה
cash,כסף מזומן
cast,ללהק
cat,חתול
catch,לתפוס
category,קטגוריה
Catholic,קָתוֹלִי
cause,גורם
ceiling,תִקרָה
celebrate,לַחֲגוֹג
celebration,חֲגִיגָה
celebrity,סלבריטאי
cell,תָא
center,מֶרְכָּז
central,מֶרכָּזִי
century,מֵאָה
CEO,"מנכ""ל"
ceremony,טֶקֶס
certain,מסוים
certainly,בְּהֶחלֵט
chain,שַׁרשֶׁרֶת
chair,כִּסֵא
chairman,יושב ראש
challenge,אתגר
chamber,תָא
champion,אַלוּף
championship,אַלִיפוּת
chance,הִזדַמְנוּת
change,שינוי
changing,מִשְׁתַנֶה
channel,עָרוּץ
chapter,פֶּרֶק
character,אופי
characteristic,מאפיין
characterize,לאפיין
charge,לחייב
charity,צדקה
chart,תרשים
chase,מִרדָף
cheap,זוֹל
check,חשבון
cheek,לֶחִי
cheese,גבינה
chef,שֶׁף
chemical,כִּימִי
chest,חזה
chicken,עוף
chief,רֹאשׁ
child,יֶלֶד
childhood,יַלדוּת
Chinese,סִינִית
chip,שְׁבָב
chocolate,שוקולד
choice,בְּחִירָה
cholesterol,כולסטרול
choose,בחר
Christian,נוצרי
Christmas,חַג הַמוֹלָד
church,כְּנֵסִיָה
cigarette,סִיגַרִיָה
circle,מעגל
circumstance,נסיבות
cite,לְצַטֵט
citizen,אֶזרָח
city,עִיר
civil,אֶזרָחִי
civilian,אֶזרָחִי
claim,תְבִיעָה
class,מעמד
classic,קלַאסִי
classroom,כיתה
clean,לְנַקוֹת
clear,ברור
clearly,בְּבִירוּר
client,לָקוּחַ
climate,אַקלִים
climb,לְטַפֵּס
clinic,מרפאה
clinical,קליני
clock,שָׁעוֹן
close,סגור
closely,מקרוב
closer,יותר קרוב
clothes,בגדים
clothing,הַלבָּשָׁה
cloud,ענן
club,מוֹעֲדוֹן
clue,רֶמֶז
cluster,אֶשׁכּוֹל
coach,מְאַמֵן
coal,פֶּחָם
coalition,קוֹאָלִיצִיָה
coast,חוף
coat,מעיל
code,קוד
coffee,קפה
cognitive,קוגניטיבי
cold,קַר
collapse,הִתמוֹטְטוּת
colleague,עמית
collect,לאסוף
collection,אוסף
collective,קולקטיבי
college,מִכלָלָה
colonial,קוֹלוֹנִיאָלִי
color,צֶבַע
column,טור
combination,קוֹמבִּינַצִיָה
combine,לְשַׁלֵב
come,תבואו
comedy,קוֹמֶדִיָה
comfort,נוחות
comfortable,נוֹחַ
command,פקודה
commander,מְפַקֵד
comment,תגובה
commercial,מִסְחָרִי
commission,עמלה
commit,לְבַצֵעַ
commitment,מְחוּיָבוּת
committee,וַעֲדָה
common,מְשׁוּתָף
communicate,לתקשר
communication,תִקשׁוֹרֶת
community,קהילה
company,חֶברָה
compare,לְהַשְׁווֹת
comparison,השוואה
compete,להתחרות
competition,תַחֲרוּת
competitive,תַחֲרוּתִי
competitor,מתחרה
complain,לְהִתְלוֹנֵן
complaint,תְלוּנָה
complete,לְהַשְׁלִים
completely,לַחֲלוּטִין
complex,מורכב
complicated,מורכב
component,רְכִיב
compose,לְהַלחִין
composition,הרכב
comprehensive,מַקִיף
computer,מַחשֵׁב
concentrate,לְהִתְרַכֵּז
concentration,ריכוז
concept,מוּשָׂג
concern,דְאָגָה
concerned,מודאג
concert,קוֹנצֶרט
conclude,לְהַסִיק
conclusion,סיכום
concrete,בֵּטוֹן
condition,מַצָב
conduct,התנהגות
conference,וְעִידָה
confidence,אֵמוּן
confident,בטוח
confirm,לְאַשֵׁר
conflict,סְתִירָה
confront,לְהִתְעַמֵת
confusion,בִּלבּוּל
Congress,קוֹנגרֶס
congressional,קונגרס
connect,לְחַבֵּר
connection,חיבור
consciousness,תוֹדָעָה
consensus,קוֹנסֶנזוּס
consequence,תוֹצָאָה
conservative,שמרני
consider,לשקול
considerable,רַב
consideration,הִתחַשְׁבוּת
consist,לְהַכִיל
consistent,עִקבִי
constant,קָבוּעַ
constantly,תָמִיד
constitute,לְהַווֹת
constitutional,חוּקָתִי
construct,לִבנוֹת
construction,בְּנִיָה
consultant,יוֹעֵץ
consume,לִצְרוֹך
consumer,צרכן
consumption,צְרִיכָה
contact,איש קשר
contain,לְהַכִיל
container,מְכוֹלָה
contemporary,עַכשָׁוִי
content,תוֹכֶן
contest,תַחֲרוּת
context,הֶקשֵׁר
continue,לְהַמשִׁיך
continued,נמשך
contract,חוֹזֶה
contrast,בניגוד
contribute,לתרום
contribution,תְרוּמָה
control,לִשְׁלוֹט
controversial,שנוי במחלוקת
controversy,מַחֲלוֹקֶת
convention,אֲמָנָה
conventional,מוּסכָּם
conversation,שִׂיחָה
convert,להמיר
conviction,הַרשָׁעָה
convince,לְשַׁכְנֵעַ
cook,לְבַשֵׁל
cookie,עוגייה
cooking,בישול
cool,מגניב
cooperation,שיתוף פעולה
cop,שׁוֹטֵר
cope,להתמודד
copy,עותק
core,הליבה
corn,תירס
corner,פינה
corporate,תאגידי
corporation,תַאֲגִיד
correct,נכון
correspondent,כַתָב
cost,עֲלוּת
cotton,כותנה
couch,סַפָּה
could,הָיָה יָכוֹל
council,מועצה
counselor,יועץ
count,לספור
counter,דֶלְפֵּק
country,מדינה
county,מָחוֹז
couple,זוּג
courage,אומץ
course,קוּרס
court,בית משפט
cousin,בת דודה
cover,כיסוי
coverage,כיסוי
cow,פָּרָה
crack,סדק
craft,מְלָאכָה
crash,לְהִתְרַסֵק
crazy,מְטוּרָף
cream,קרם
create,לִיצוֹר
creation,יצירה
creative,יְצִירָתִי
creature,יְצוּר
credit,אַשׁרַאי
crew,צוות
crime,פֶּשַׁע
criminal,פְּלִילִי
crisis,מַשׁבֵּר
criteria,קריטריונים
critic,מְבַקֵר
critical,קריטי
criticism,ביקורת
criticize,לְבַקֵר
crop,יְבוּל
cross,לַחֲצוֹת
crowd,קָהָל
crucial,מַכרִיעַ
cry,בוכה
cultural,תַרְבּוּתִי
culture,תַרְבּוּת
cup,גָבִיעַ
curious,סקרן
current,נוֹכְחִי
currently,כַּיוֹם
curriculum,תכנית לימודים
custom,המותאם אישית
customer,צרכן
cut,גזירה
cycle,מחזור
dad,אַבָּא
daily,יום יומי
damage,נֵזֶק
dance,לִרְקוֹד
danger,סַכָּנָה
dangerous,מְסוּכָּן
dare,לְהַעֵז
dark,אפל
darkness,חוֹשֶׁך
data,נתונים
date,תַאֲרִיך
daughter,בַּת
day,יְוֹם
dead,מֵת
deal,עִסקָה
dealer,סוֹחֵר
dear,יָקָר
death,מוות
debate,עימות
debt,חוֹב
decade,עָשׂוֹר
decide,לְהַחלִיט
decision,הַחְלָטָה
deck,סִיפּוּן
declare,לְהַכרִיז
decline,יְרִידָה
decrease,לְהַקְטִין
deep,עָמוֹק
deeply,באופן מעמיק
deer,צְבִי
defeat,לִהַבִיס
defend,לְהַגֵן
defendant,נֶאְשָׁם
defense,הֲגָנָה
defensive,הֲגַנָתִי
deficit,גֵרָעוֹן
define,לְהַגדִיר
definitely,בהחלט
definition,הַגדָרָה
degree,תוֹאַר
delay,לְעַכֵּב
deliver,לִמְסוֹר
delivery,מְסִירָה
demand,דרש
democracy,דֵמוֹקרָטִיָה
Democrat,דֵמוֹקרָט
democratic,דֵמוֹקרָטִי
demonstrate,לְהַפְגִין
demonstration,הפגנה
deny,לְהַכּחִישׁ
department,מַחלָקָה
depend,לִסְמוֹך
dependent,תלוי
depending,תלוי
depict,לתאר
depression,דִכָּאוֹן
depth,עוֹמֶק
deputy,סְגָן
derive,לְהָפִיק
describe,לְתַאֵר
description,תיאור
desert,מִדבָּר
deserve,מגיע
design,לְעַצֵב
designer,מְעַצֵב
desire,רצון עז
desk,שׁוּלְחָן כְּתִיבָה
desperate,נוֹאָשׁ
despite,למרות
destroy,להרוס
destruction,הֶרֶס
detail,פרט
detailed,מְפוֹרָט
detect,לזהות
determine,לקבוע
develop,לְפַתֵחַ
developing,מתפתח
development,התפתחות
device,התקן
devote,להקדיש
dialogue,דו שיח
die,לָמוּת
diet,דִיאֵטָה
differ,לִהיוֹת שׁוֹנֶה
difference,הֶבדֵל
different,שונה
differently,באופן שונה
difficult,קָשֶׁה
difficulty,קושי
dig,לַחפּוֹר
digital,דִיגִיטָלי
dimension,מֵמַד
dining,אוכל
dinner,אֲרוּחַת עֶרֶב
direct,ישיר
direction,כיוון
directly,בצורה ישירה
director,מְנַהֵל
dirt,עפר
dirty,מְלוּכלָך
disability,נָכוּת
disagree,לא מסכים
disappear,לְהֵעָלֵם
disaster,אסון
discipline,משמעת
discourse,שִׂיחַ
discover,לְגַלוֹת
discovery,תַגלִית
discrimination,אַפלָיָה
discuss,לָדוּן
discussion,דִיוּן
disease,מַחֲלָה
dish,צַלַחַת
dismiss,לשחרר
disorder,הפרעה
display,לְהַצִיג
dispute,מַחֲלוֹקֶת
distance,מֶרְחָק
distant,רָחוֹק
distinct,מוּבהָק
distinction,הבחנה
distinguish,לְהַבחִין
distribute,לְהָפִיץ
distribution,הפצה
district,מָחוֹז
diverse,מְגוּוָן
diversity,מגוון
divide,לחלק
division,חֲלוּקָה
divorce,לְהִתְגַרֵשׁ
DNA,DNA
do,לַעֲשׂוֹת
doctor,דוֹקטוֹר
document,מסמך
dog,כֶּלֶב
domestic,בֵּיתִי
dominant,דוֹמִינָנטִי
dominate,לִשְׁלוֹט
door,דלת
double,לְהַכפִּיל
doubt,ספק
down,מטה
downtown,מרכז העיר
dozen,תְרֵיסַר
draft,טְיוּטָה
drag,לִגרוֹר
drama,דְרָמָה
dramatic,דְרָמָטִי
dramatically,באופן דרמטי
draw,לצייר
drawing,צִיוּר
dream,חולם
dress,שמלה
drink,לִשְׁתוֹת
drive,נהיגה
driver,נהג
drop,יְרִידָה
drug,תְרוּפָה
dry,יָבֵשׁ
due,נודע
during,בְּמַהֲלָך
dust,אָבָק
duty,חוֹבָה
each,כל אחד
eager,לָהוּט
ear,אֹזֶן
early,מוקדם
earn,להרוויח
earnings,רווחים
earth,כדור הארץ
ease,קַלוּת
easily,בְּקַלוּת
east,מזרח
eastern,מזרחי
easy,קַל
eat,לאכול
economic,כַּלְכָּלִי
economics,כלכלה
economist,כַּלכָּלָן
economy,כַּלְכָּלָה
edge,קָצֶה
edition,מַהֲדוּרָה
editor,עוֹרֵך
educate,לְחַנֵך
education,חינוך
educational,חינוכי
educator,מְחַנֵך
effect,השפעה
effective,יָעִיל
effectively,ביעילות
efficiency,יְעִילוּת
efficient,יָעִיל
effort,מַאֲמָץ
egg,ביצה
eight,שמונה
either,אוֹ
elderly,קשיש
elect,לבחור
election,בְּחִירָה
electric,חשמלי
electricity,חַשְׁמַל
electronic,אֶלֶקטרוֹנִי
element,אֵלֵמֶנט
elementary,יְסוֹדִי
eliminate,לְחַסֵל
elite,עִלִית
else,אַחֵר
elsewhere,בְּמָקוֹם אַחֵר
e-mail,אימייל
embrace,לְחַבֵּק
emerge,לָצֵאת
emergency,חירום
emission,פְּלִיטָה
emotion,רֶגֶשׁ
emotional,רִגשִׁי
emphasis,דָגֵשׁ
emphasize,להדגיש
employ,לְהַעֲסִיק
employee,עוֹבֵד
employer,מעסיק
employment,תעסוקה
empty,ריק
enable,לְאַפשֵׁר
encounter,פְּגִישָׁה
encourage,לְעוֹדֵד
end,סוֹף
enemy,אוֹיֵב
energy,אֵנֶרְגִיָה
enforcement,אַכִיפָה
engage,לחתור למגע
engine,מנוע
engineer,מהנדס
engineering,הַנדָסָה
English,אנגלית
enhance,להגביר
enjoy,תהנה
enormous,עֲנָקִי
enough,מספיק
ensure,לְהַבטִיחַ
enter,להיכנס
enterprise,מִפְעָל
entertainment,בידור
entire,שלם
entirely,לַחֲלוּטִין
entrance,כְּנִיסָה
entry,כְּנִיסָה
environment,סביבה
environmental,סְבִיבָתִי
episode,פרק
equal,שווה
equally,באופן שווה
equipment,צִיוּד
era,תְקוּפָה
error,שְׁגִיאָה
escape,בריחה
especially,במיוחד
essay,מַסָה
essential,חִיוּנִי
essentially,בעיקרון
establish,לְהַקִים
establishment,מוֹסָד
estate,נכס
estimate,לְהַעֲרִיך
etc,וכו
ethics,אֶתִיקָה
ethnic,אתני
European,אֵירוֹפִּי
evaluate,להעריך
evaluation,הַעֲרָכָה
even,אֲפִילוּ
evening,עֶרֶב
event,מִקרֶה
eventually,בסופו של דבר
ever,אֵיִ פַּעַם
every,כֹּל
everybody,כולם
everyday,כל יום
everyone,כל אחד
everything,הכל
everywhere,בכל מקום
evidence,עֵדוּת
evolution,אבולוציה
evolve,לְהִתְפַּתֵחַ
exact,מְדוּיָק
exactly,בְּדִיוּק
examination,בְּדִיקָה
examine,לִבחוֹן
example,דוגמא
exceed,עולה על
excellent,מְעוּלֶה
except,מלבד
exception,יוצא מן הכלל
exchange,לְהַחלִיף
exciting,מְרַגֵשׁ
executive,מְנַהֵל
exercise,תרגיל
exhibit,לְהַצִיג
exhibition,תערוכה
exist,קיימים
existence,קִיוּם
existing,קיים
expand,לְהַרְחִיב
expansion,הַרחָבָה
expect,לְצַפּוֹת
expectation,תוֹחֶלֶת
expense,הוֹצָאָה
expensive,יָקָר
experience,ניסיון
experiment,לְנַסוֹת
expert,מוּמחֶה
explain,להסביר
explanation,הֶסבֵּר
explode,לְהִתְפּוֹצֵץ
explore,לַחקוֹר
explosion,הִתְפּוֹצְצוּת
expose,לַחשׂוֹף
exposure,חשיפה
express,אֶקְסְפּרֶס
expression,ביטוי
extend,לְהַאֲרִיך
extension,סיומת
extensive,נִרחָב
extent,מידה
external,חיצוני
extra,תוֹסֶפֶת
extraordinary,יוצאת דופן
extreme,קיצוני
extremely,מְאוֹד
eye,עַיִן
fabric,בד
face,פָּנִים
facility,מִתקָן
fact,עוּבדָה
factor,גורם
factory,בית חרושת
faculty,סגל
fade,לִדעוֹך
fail,לְהִכָּשֵׁל
failure,כישלון
fair,יריד
fairly,לְמַדַי
faith,אֱמוּנָה
fall,נפילה
FALSE,שֶׁקֶר
familiar,מוּכָּר
family,מִשׁפָּחָה
famous,מפורסם
fan,אוהד
fantasy,פנטזיה
far,רָחוֹק
farm,חווה חקלאית
farmer,חַקלאַי
fashion,אופנה
fast,מָהִיר
fat,שמן
fate,גוֹרָל
father,אַבָּא
fault,אשמה
favor,טוֹבָה
favorite,אהוב
fear,פַּחַד
feature,תכונה
federal,פדרלי
fee,תַשְׁלוּם
feed,הזנה
feel,להרגיש
feeling,מַרגִישׁ
fellow,עָמִית
female,נְקֵבָה
fence,גָדֵר
few,מְעַטִים
fewer,פחות
fiber,סִיב
fiction,ספרות בדיונית
field,שדה
fifteen,חֲמֵשׁ עֶשׂרֵה
fifth,חמישי
fifty,חמישים
fight,מַאֲבָק
fighter,לוֹחֶם
fighting,לְחִימָה
figure,דמות
file,קוֹבֶץ
fill,למלא
film,סרט צילום
final,סופי
finally,סוף כל סוף
finance,לְמַמֵן
financial,כַּספִּי
find,למצוא
finding,מִמצָא
fine,בסדר גמור
finger,אֶצבַּע
finish,סיים
fire,אֵשׁ
firm,מוּצָק
first,ראשון
fish,דג
fishing,דיג
fit,לְהַתְאִים
fitness,כושר
five,חָמֵשׁ
fix,לתקן
flag,דֶגֶל
flame,לֶהָבָה
flat,שָׁטוּחַ
flavor,טעם
flee,לברוח
flesh,בשר
flight,טִיסָה
float,לָצוּף
floor,קוֹמָה
flow,זְרִימָה
flower,פֶּרַח
fly,"לטוס, זבוב"
focus,מוֹקֵד
folk,אֲנָשִׁים
follow,לעקוב אחר
following,הבא
food,מזון
foot,כף רגל
football,כדורגל
for,ל
force,כּוֹחַ
foreign,זָר
forest,יַעַר
forever,לָנֶצַח
forget,לשכוח
form,טופס
formal,רִשְׁמִי
formation,היווצרות
former,לְשֶׁעָבַר
formula,נוּסחָה
forth,הָלְאָה
fortune,הון עתק
forward,קָדִימָה
found,מצאתי
foundation,קרן
founder,מייסד
four,ארבע
fourth,רביעי
frame,מִסגֶרֶת
framework,מִסגֶרֶת
free,חינם
freedom,חוֹפֶשׁ
freeze,הַקפָּאָה
French,צָרְפָתִית
frequency,תדירות
frequent,תָכוּף
frequently,בתדירות גבוהה
fresh,טָרִי
friend,חבר
friendly,יְדִידוּתִי
friendship,חֲבֵרוּת
from,מ
front,חֲזִית
fruit,פרי
frustration,תסכול
fuel,דלק
full,מלא
fully,לְגַמרֵי
fun,כֵּיף
function,פוּנקצִיָה
fund,קֶרֶן
fundamental,בסיסי
funding,מימון
funeral,הַלוָיָה
funny,מצחיק
furniture,רְהִיטִים
furthermore,יתר על כן
future,עתיד
gain,לְהַשִׂיג
galaxy,גָלַקסִיָה
gallery,גלריה
game,מִשְׂחָק
gang,כְּנוּפִיָה
gap,פער
garage,מוּסָך
garden,גן
garlic,שום
gas,גַז
gate,שַׁעַר
gather,לאסוף
gay,הומו
gaze,מַבָּט
gear,גלגל שיניים
gender,מִין
gene,גֵן
general,כללי
generally,בדרך כלל
generate,לִיצוֹר
generation,דוֹר
genetic,גֵנֵטִי
gentleman,ג'ֶנטֶלמֶן
gently,בעדינות
German,גֶרמָנִיָת
gesture,מחווה
get,לקבל
ghost,רוּחַ
giant,עֲנָק
gift,מתנה
gifted,מוּכשָׁר
girl,ילדה
girlfriend,חֲבֵרָה
give,לָתֵת
given,נָתוּן
glad,שַׂמֵחַ
glance,מַבָּט
glass,זכוכית
global,גלוֹבָּלִי
glove,כְּפָפָה
go,ללכת
goal,מטרה
God,אלוהים
gold,זהב
golden,זָהוּב
golf,גוֹלף
good,טוֹב
government,מֶמְשָׁלָה
governor,מוֹשֵׁל
grab,לִתְפּוֹס
grade,כיתה
gradually,באופן הדרגתי
graduate,בוגר
grain,תְבוּאָה
grand,גָדוֹל
grandfather,סָבָּא
grandmother,סַבתָא
grant,מענק
grass,דֶשֶׁא
grave,קבר
gray,אפור
great,גדול
greatest,הגדול ביותר
green,ירוק
grocery,מַכּוֹלֶת
ground,"קרקע, אדמה"
group,קְבוּצָה
grow,לגדול
growing,גָדֵל
growth,צְמִיחָה
guarantee,להבטיח
guard,שומר
guess,לְנַחֵשׁ
guest,אוֹרֵחַ
guide,להנחות
guideline,קַו מַנחֶה
guilty,אָשֵׁם
gun,אֶקְדָח
guy,בָּחוּר
habit,הֶרגֵל
habitat,בית גידול
hair,שיער
half,חֲצִי
hall,אולם
hand,יד
handful,קוֹמֶץ
handle,ידית
hang,לִתְלוֹת
happen,לִקְרוֹת
happy,שַׂמֵחַ
hard,קָשֶׁה
hardly,בְּקוֹשִׁי
hat,כּוֹבַע
hate,שִׂנאָה
have,יש
he,הוא
head,רֹאשׁ
headline,כּוֹתֶרֶת
headquarters,מַטֶה
health,בְּרִיאוּת
healthy,בָּרִיא
hear,לִשְׁמוֹעַ
hearing,שמיעה
heart,לֵב
heat,חוֹם
heaven,גן העדן
heavily,בִּכְבֵדוּת
heavy,כָּבֵד
heel,עָקֵב
height,גוֹבַה
helicopter,מַסוֹק
hell,גֵיהִנוֹם
hello,שלום
help,עֶזרָה
helpful,מוֹעִיל
her,שֶׁלָה
here,פה
heritage,מוֹרֶשֶׁת
hero,גיבור
herself,עַצמָה
hey,היי
hi,היי
hide,להתחבא
high,גָבוֹהַ
highlight,שִׂיא
highly,מְאוֹד
