,english,hebrew
251,beautiful,יפה
252,beauty,יוֹפִי
253,because,כי
254,become,הפכו
255,bed,מיטה
256,bedroom,חדר שינה
257,beer,בירה
258,before,לפני
259,begin,התחל
260,beginning,התחלה
261,behavior,התנהגות
262,behind,מֵאָחוֹר
263,being,להיות
264,belief,אמונה
265,believe,לְהֶאֱמִין
266,bell,פַּעֲמוֹן
267,belong,שייך
268,below,לְהַלָן
269,belt,חֲגוֹרָה
270,bench,סַפְסָל
271,bend,לְכּוֹפֵף
272,beneath,תַחַת
273,benefit,תועלת
274,beside,לְיַד
275,besides,חוץ מזה
276,best,הטוב ביותר
277,bet,לְהַמֵר
278,better,טוב יותר
279,between,בֵּין
280,beyond,מעבר
281,Bible,כִּתבֵי הַקוֹדֶשׁ
282,big,גָדוֹל
283,bike,אופניים
284,bill,שטר כסף
285,billion,מיליארד
286,bind,לִקְשׁוֹר
287,biological,בִּיוֹלוֹגִי
288,bird,ציפור
289,birth,הוּלֶדֶת
290,birthday,יום הולדת
291,bit,קצת
292,bite,נְשִׁיכָה
293,black,שָׁחוֹר
294,blade,להב
295,blame,אשמה
296,blanket,שְׂמִיכָה
297,blind,סומא
298,block,לַחסוֹם
299,blood,דָם
300,blow,לנשוף
301,blue,כָּחוֹל
302,board,גלשן
303,boat,סִירָה
304,body,גוּף
305,bomb,פְּצָצָה
306,bombing,הַפצָצָה
307,bond,אגרת חוב
308,bone,עֶצֶם
309,book,סֵפֶר
310,boom,בּוּם
311,boot,מַגָף
312,border,גבול
313,born,נוֹלָד
314,borrow,לִלווֹת
315,boss,בּוֹס
316,both,שניהם
317,bother,לְהטרִיד
318,bottle,בקבוק
319,bottom,תַחתִית
320,boundary,גְבוּל
321,bowl,קְעָרָה
322,box,קופסא
323,boy,יֶלֶד
324,boyfriend,הֶחָבֵר
325,brain,מוֹחַ
326,branch,ענף
327,brand,מותג
328,bread,לחם
329,break,לשבור
330,breakfast,ארוחת בוקר
331,breast,שד
332,breath,נְשִׁימָה
333,breathe,לִנְשׁוֹם
334,brick,לְבֵנָה
335,bridge,לְגַשֵׁר
336,brief,קָצָר
337,briefly,בקצרה
338,bright,בָּהִיר
339,brilliant,מַברִיק
340,bring,לְהָבִיא
341,British,בריטי
342,broad,רָחָב
343,broken,שָׁבוּר
344,brother,אָח
345,brown,חום
346,brush,מִברֶשֶׁת
347,buck,דוֹלָר
348,budget,תַקצִיב
349,build,לִבנוֹת
350,building,בִּניָן
351,bullet,כַּדוּר
352,bunch,צְרוֹר
353,burden,נטל
354,burn,לשרוף
355,bury,לִקְבּוֹר
356,bus,אוֹטוֹבּוּס
357,business,עֵסֶק
358,busy,עסוק
359,but,אבל
360,butter,חמאה
361,button,לַחְצָן
362,buy,לִקְנוֹת
363,buyer,קוֹנֶה
364,by,על ידי
365,cabin,תָא
366,cabinet,קבינט
367,cable,כֶּבֶל
368,cake,עוגה
369,calculate,לחשב
370,call,שִׂיחָה
371,camera,מַצלֵמָה
372,camp,מַחֲנֶה
373,campaign,קמפיין
374,campus,קַמפּוּס
375,can,פחית
376,Canadian,קנדי
377,cancer,סרטן
378,candidate,מוּעֲמָד
379,cap,כובע
380,capability,יכולת
381,capable,בעל יכולת
382,capacity,קיבולת
383,capital,עיר בירה
384,captain,סֶרֶן
385,capture,לִלְכּוֹד
386,car,אוטו
387,carbon,פַּחמָן
388,card,כַּרְטִיס
389,care,לְטַפֵּל
390,career,קריירה
391,careful,זָהִיר
392,carefully,בקפידה
393,carrier,מוֹבִיל
394,carry,לשאת
395,case,מקרה
396,cash,כסף מזומן
397,cast,ללהק
398,cat,חתול
399,catch,לתפוס
400,category,קטגוריה
401,Catholic,קָתוֹלִי
402,cause,גורם
403,ceiling,תִקרָה
404,celebrate,לַחֲגוֹג
405,celebration,חֲגִיגָה
406,celebrity,סלבריטאי
407,cell,תָא
408,center,מֶרְכָּז
409,central,מֶרכָּזִי
410,century,מֵאָה
411,CEO,"מנכ""ל"
412,ceremony,טֶקֶס
413,certain,מסוים
414,certainly,בְּהֶחלֵט
415,chain,שַׁרשֶׁרֶת
416,chair,כִּסֵא
417,chairman,יושב ראש
418,challenge,אתגר
419,chamber,תָא
420,champion,אַלוּף
421,championship,אַלִיפוּת
422,chance,הִזדַמְנוּת
423,change,שינוי
424,changing,מִשְׁתַנֶה
425,channel,עָרוּץ
426,chapter,פֶּרֶק
427,character,אופי
428,characteristic,מאפיין
429,characterize,לאפיין
430,charge,לחייב
431,charity,צדקה
432,chart,תרשים
433,chase,מִרדָף
434,cheap,זוֹל
435,check,חשבון
436,cheek,לֶחִי
437,cheese,גבינה
438,chef,שֶׁף
439,chemical,כִּימִי
440,chest,חזה
441,chicken,עוף
442,chief,רֹאשׁ
443,child,יֶלֶד
444,childhood,יַלדוּת
445,Chinese,סִינִית
446,chip,שְׁבָב
447,chocolate,שוקולד
448,choice,בְּחִירָה
449,cholesterol,כולסטרול
450,choose,בחר
451,Christian,נוצרי
452,Christmas,חַג הַמוֹלָד
453,church,כְּנֵסִיָה
454,cigarette,סִיגַרִיָה
455,circle,מעגל
456,circumstance,נסיבות
457,cite,לְצַטֵט
458,citizen,אֶזרָח
459,city,עִיר
460,civil,אֶזרָחִי
461,civilian,אֶזרָחִי
462,claim,תְבִיעָה
463,class,מעמד
464,classic,קלַאסִי
465,classroom,כיתה
466,clean,לְנַקוֹת
467,clear,ברור
468,clearly,בְּבִירוּר
469,client,לָקוּחַ
470,climate,אַקלִים
471,climb,לְטַפֵּס
472,clinic,מרפאה
473,clinical,קליני
474,clock,שָׁעוֹן
475,close,סגור
476,closely,מקרוב
477,closer,יותר קרוב
478,clothes,בגדים
479,clothing,הַלבָּשָׁה
480,cloud,ענן
481,club,מוֹעֲדוֹן
482,clue,רֶמֶז
483,cluster,אֶשׁכּוֹל
484,coach,מְאַמֵן
485,coal,פֶּחָם
486,coalition,קוֹאָלִיצִיָה
487,coast,חוף
488,coat,מעיל
489,code,קוד
490,coffee,קפה
491,cognitive,קוגניטיבי
492,cold,קַר
493,collapse,הִתמוֹטְטוּת
494,colleague,עמית
495,collect,לאסוף
496,collection,אוסף
497,collective,קולקטיבי
498,college,מִכלָלָה
499,colonial,קוֹלוֹנִיאָלִי
500,color,צֶבַע
501,column,טור
502,combination,קוֹמבִּינַצִיָה
503,combine,לְשַׁלֵב
504,come,תבואו
505,comedy,קוֹמֶדִיָה
506,comfort,נוחות
507,comfortable,נוֹחַ
508,command,פקודה
509,commander,מְפַקֵד
510,comment,תגובה
511,commercial,מִסְחָרִי
512,commission,עמלה
513,commit,לְבַצֵעַ
514,commitment,מְחוּיָבוּת
515,committee,וַעֲדָה
516,common,מְשׁוּתָף
517,communicate,לתקשר
518,communication,תִקשׁוֹרֶת
519,community,קהילה
520,company,חֶברָה
521,compare,לְהַשְׁווֹת
522,comparison,השוואה
523,compete,להתחרות
524,competition,תַחֲרוּת
525,competitive,תַחֲרוּתִי
526,competitor,מתחרה
527,complain,לְהִתְלוֹנֵן
528,complaint,תְלוּנָה
529,complete,לְהַשְׁלִים
530,completely,לַחֲלוּטִין
531,complex,מורכב
532,complicated,מורכב
533,component,רְכִיב
534,compose,לְהַלחִין
535,composition,הרכב
536,comprehensive,מַקִיף
537,computer,מַחשֵׁב
538,concentrate,לְהִתְרַכֵּז
539,concentration,ריכוז
540,concept,מוּשָׂג
541,concern,דְאָגָה
542,concerned,מודאג
543,concert,קוֹנצֶרט
544,conclude,לְהַסִיק
545,conclusion,סיכום
546,concrete,בֵּטוֹן
547,condition,מַצָב
548,conduct,התנהגות
549,conference,וְעִידָה
550,confidence,אֵמוּן
551,confident,בטוח
552,confirm,לְאַשֵׁר
553,conflict,סְתִירָה
554,confront,לְהִתְעַמֵת
555,confusion,בִּלבּוּל
556,Congress,קוֹנגרֶס
557,congressional,קונגרס
558,connect,לְחַבֵּר
559,connection,חיבור
560,consciousness,תוֹדָעָה
561,consensus,קוֹנסֶנזוּס
562,consequence,תוֹצָאָה
563,conservative,שמרני
564,consider,לשקול
565,considerable,רַב
566,consideration,הִתחַשְׁבוּת
567,consist,לְהַכִיל
568,consistent,עִקבִי
569,constant,קָבוּעַ
570,constantly,תָמִיד
571,constitute,לְהַווֹת
572,constitutional,חוּקָתִי
573,construct,לִבנוֹת
574,construction,בְּנִיָה
575,consultant,יוֹעֵץ
576,consume,לִצְרוֹך
577,consumer,צרכן
578,consumption,צְרִיכָה
579,contact,איש קשר
580,contain,לְהַכִיל
581,container,מְכוֹלָה
582,contemporary,עַכשָׁוִי
583,content,תוֹכֶן
584,contest,תַחֲרוּת
585,context,הֶקשֵׁר
586,continue,לְהַמשִׁיך
587,continued,נמשך
588,contract,חוֹזֶה
589,contrast,בניגוד
590,contribute,לתרום
591,contribution,תְרוּמָה
592,control,לִשְׁלוֹט
593,controversial,שנוי במחלוקת
594,controversy,מַחֲלוֹקֶת
595,convention,אֲמָנָה
596,conventional,מוּסכָּם
597,conversation,שִׂיחָה
598,convert,להמיר
599,conviction,הַרשָׁעָה
600,convince,לְשַׁכְנֵעַ
601,cook,לְבַשֵׁל
602,cookie,עוגייה
603,cooking,בישול
604,cool,מגניב
605,cooperation,שיתוף פעולה
606,cop,שׁוֹטֵר
607,cope,להתמודד
608,copy,עותק
609,core,הליבה
610,corn,תירס
611,corner,פינה
612,corporate,תאגידי
613,corporation,תַאֲגִיד
614,correct,נכון
615,correspondent,כַתָב
616,cost,עֲלוּת
617,cotton,כותנה
618,couch,סַפָּה
619,could,הָיָה יָכוֹל
620,council,מועצה
621,counselor,יועץ
622,count,לספור
623,counter,דֶלְפֵּק
624,country,מדינה
625,county,מָחוֹז
626,couple,זוּג
627,courage,אומץ
628,course,קוּרס
629,court,בית משפט
630,cousin,בת דודה
631,cover,כיסוי
632,coverage,כיסוי
633,cow,פָּרָה
634,crack,סדק
635,craft,מְלָאכָה
636,crash,לְהִתְרַסֵק
637,crazy,מְטוּרָף
638,cream,קרם
639,create,לִיצוֹר
640,creation,יצירה
641,creative,יְצִירָתִי
642,creature,יְצוּר
643,credit,אַשׁרַאי
644,crew,צוות
645,crime,פֶּשַׁע
646,criminal,פְּלִילִי
647,crisis,מַשׁבֵּר
648,criteria,קריטריונים
649,critic,מְבַקֵר
650,critical,קריטי
651,criticism,ביקורת
652,criticize,לְבַקֵר
653,crop,יְבוּל
654,cross,לַחֲצוֹת
655,crowd,קָהָל
656,crucial,מַכרִיעַ
657,cry,בוכה
658,cultural,תַרְבּוּתִי
659,culture,תַרְבּוּת
660,cup,גָבִיעַ
661,curious,סקרן
662,current,נוֹכְחִי
663,currently,כַּיוֹם
664,curriculum,תכנית לימודים
665,custom,המותאם אישית
666,customer,צרכן
667,cut,גזירה
668,cycle,מחזור
669,dad,אַבָּא
670,daily,יום יומי
671,damage,נֵזֶק
672,dance,לִרְקוֹד
673,danger,סַכָּנָה
674,dangerous,מְסוּכָּן
675,dare,לְהַעֵז
676,dark,אפל
677,darkness,חוֹשֶׁך
678,data,נתונים
679,date,תַאֲרִיך
680,daughter,בַּת
681,day,יְוֹם
682,dead,מֵת
683,deal,עִסקָה
684,dealer,סוֹחֵר
685,dear,יָקָר
686,death,מוות
687,debate,עימות
688,debt,חוֹב
689,decade,עָשׂוֹר
690,decide,לְהַחלִיט
691,decision,הַחְלָטָה
692,deck,סִיפּוּן
693,declare,לְהַכרִיז
694,decline,יְרִידָה
695,decrease,לְהַקְטִין
696,deep,עָמוֹק
697,deeply,באופן מעמיק
698,deer,צְבִי
699,defeat,לִהַבִיס
700,defend,לְהַגֵן
701,defendant,נֶאְשָׁם
702,defense,הֲגָנָה
703,defensive,הֲגַנָתִי
704,deficit,גֵרָעוֹן
705,define,לְהַגדִיר
706,definitely,בהחלט
707,definition,הַגדָרָה
708,degree,תוֹאַר
709,delay,לְעַכֵּב
710,deliver,לִמְסוֹר
711,delivery,מְסִירָה
712,demand,דרש
713,democracy,דֵמוֹקרָטִיָה
714,Democrat,דֵמוֹקרָט
715,democratic,דֵמוֹקרָטִי
716,demonstrate,לְהַפְגִין
717,demonstration,הפגנה
718,deny,לְהַכּחִישׁ
719,department,מַחלָקָה
720,depend,לִסְמוֹך
721,dependent,תלוי
722,depending,תלוי
723,depict,לתאר
724,depression,דִכָּאוֹן
725,depth,עוֹמֶק
726,deputy,סְגָן
727,derive,לְהָפִיק
728,describe,לְתַאֵר
729,description,תיאור
730,desert,מִדבָּר
731,deserve,מגיע
732,design,לְעַצֵב
733,designer,מְעַצֵב
734,desire,רצון עז
735,desk,שׁוּלְחָן כְּתִיבָה
736,desperate,נוֹאָשׁ
737,despite,למרות
738,destroy,להרוס
739,destruction,הֶרֶס
740,detail,פרט
741,detailed,מְפוֹרָט
742,detect,לזהות
743,determine,לקבוע
744,develop,לְפַתֵחַ
745,developing,מתפתח
746,development,התפתחות
747,device,התקן
748,devote,להקדיש
749,dialogue,דו שיח
750,die,לָמוּת
751,diet,דִיאֵטָה
752,differ,לִהיוֹת שׁוֹנֶה
753,difference,הֶבדֵל
754,different,שונה
755,differently,באופן שונה
756,difficult,קָשֶׁה
757,difficulty,קושי
758,dig,לַחפּוֹר
759,digital,דִיגִיטָלי
760,dimension,מֵמַד
761,dining,אוכל
762,dinner,אֲרוּחַת עֶרֶב
763,direct,ישיר
764,direction,כיוון
765,directly,בצורה ישירה
766,director,מְנַהֵל
767,dirt,עפר
768,dirty,מְלוּכלָך
769,disability,נָכוּת
770,disagree,לא מסכים
771,disappear,לְהֵעָלֵם
772,disaster,אסון
773,discipline,משמעת
774,discourse,שִׂיחַ
775,discover,לְגַלוֹת
776,discovery,תַגלִית
777,discrimination,אַפלָיָה
778,discuss,לָדוּן
779,discussion,דִיוּן
780,disease,מַחֲלָה
781,dish,צַלַחַת
782,dismiss,לשחרר
783,disorder,הפרעה
784,display,לְהַצִיג
785,dispute,מַחֲלוֹקֶת
786,distance,מֶרְחָק
787,distant,רָחוֹק
788,distinct,מוּבהָק
789,distinction,הבחנה
790,distinguish,לְהַבחִין
791,distribute,לְהָפִיץ
792,distribution,הפצה
793,district,מָחוֹז
794,diverse,מְגוּוָן
795,diversity,מגוון
796,divide,לחלק
797,division,חֲלוּקָה
798,divorce,לְהִתְגַרֵשׁ
799,DNA,DNA
800,do,לַעֲשׂוֹת
801,doctor,דוֹקטוֹר
802,document,מסמך
803,dog,כֶּלֶב
804,domestic,בֵּיתִי
805,dominant,דוֹמִינָנטִי
806,dominate,לִשְׁלוֹט
807,door,דלת
808,double,לְהַכפִּיל
809,doubt,ספק
810,down,מטה
811,downtown,מרכז העיר
812,dozen,תְרֵיסַר
813,draft,טְיוּטָה
814,drag,לִגרוֹר
815,drama,דְרָמָה
816,dramatic,דְרָמָטִי
817,dramatically,באופן דרמטי
818,draw,לצייר
819,drawing,צִיוּר
820,dream,חולם
821,dress,שמלה
822,drink,לִשְׁתוֹת
823,drive,נהיגה
824,driver,נהג
825,drop,יְרִידָה
826,drug,תְרוּפָה
827,dry,יָבֵשׁ
828,due,נודע
829,during,בְּמַהֲלָך
830,dust,אָבָק
831,duty,חוֹבָה
832,each,כל אחד
833,eager,לָהוּט
834,ear,אֹזֶן
835,early,מוקדם
836,earn,להרוויח
837,earnings,רווחים
838,earth,כדור הארץ
839,ease,קַלוּת
840,easily,בְּקַלוּת
841,east,מזרח
842,eastern,מזרחי
843,easy,קַל
844,eat,לאכול
845,economic,כַּלְכָּלִי
846,economics,כלכלה
847,economist,כַּלכָּלָן
848,economy,כַּלְכָּלָה
849,edge,קָצֶה
850,edition,מַהֲדוּרָה
851,editor,עוֹרֵך
852,educate,לְחַנֵך
853,education,חינוך
854,educational,חינוכי
855,educator,מְחַנֵך
856,effect,השפעה
857,effective,יָעִיל
858,effectively,ביעילות
859,efficiency,יְעִילוּת
860,efficient,יָעִיל
861,effort,מַאֲמָץ
862,egg,ביצה
863,eight,שמונה
864,either,אוֹ
865,elderly,קשיש
866,elect,לבחור
867,election,בְּחִירָה
868,electric,חשמלי
869,electricity,חַשְׁמַל
870,electronic,אֶלֶקטרוֹנִי
871,element,אֵלֵמֶנט
872,elementary,יְסוֹדִי
873,eliminate,לְחַסֵל
874,elite,עִלִית
875,else,אַחֵר
876,elsewhere,בְּמָקוֹם אַחֵר
877,e-mail,אימייל
878,embrace,לְחַבֵּק
879,emerge,לָצֵאת
880,emergency,חירום
881,emission,פְּלִיטָה
882,emotion,רֶגֶשׁ
883,emotional,רִגשִׁי
884,emphasis,דָגֵשׁ
885,emphasize,להדגיש
886,employ,לְהַעֲסִיק
887,employee,עוֹבֵד
888,employer,מעסיק
889,employment,תעסוקה
890,empty,ריק
891,enable,לְאַפשֵׁר
892,encounter,פְּגִישָׁה
893,encourage,לְעוֹדֵד
894,end,סוֹף
895,enemy,אוֹיֵב
896,energy,אֵנֶרְגִיָה
897,enforcement,אַכִיפָה
898,engage,לחתור למגע
899,engine,מנוע
900,engineer,מהנדס
901,engineering,הַנדָסָה
902,English,אנגלית
903,enhance,להגביר
904,enjoy,תהנה
905,enormous,עֲנָקִי
906,enough,מספיק
907,ensure,לְהַבטִיחַ
908,enter,להיכנס
909,enterprise,מִפְעָל
910,entertainment,בידור
911,entire,שלם
912,entirely,לַחֲלוּטִין
913,entrance,כְּנִיסָה
914,entry,כְּנִיסָה
915,environment,סביבה
916,environmental,סְבִיבָתִי
917,episode,פרק
918,equal,שווה
919,equally,באופן שווה
920,equipment,צִיוּד
921,era,תְקוּפָה
922,error,שְׁגִיאָה
923,escape,בריחה
924,especially,במיוחד
925,essay,מַסָה
926,essential,חִיוּנִי
927,essentially,בעיקרון
928,establish,לְהַקִים
929,establishment,מוֹסָד
930,estate,נכס
931,estimate,לְהַעֲרִיך
932,etc,וכו
933,ethics,אֶתִיקָה
934,ethnic,אתני
935,European,אֵירוֹפִּי
936,evaluate,להעריך
937,evaluation,הַעֲרָכָה
938,even,אֲפִילוּ
939,evening,עֶרֶב
940,event,מִקרֶה
941,eventually,בסופו של דבר
942,ever,אֵיִ פַּעַם
943,every,כֹּל
944,everybody,כולם
945,everyday,כל יום
946,everyone,כל אחד
947,everything,הכל
948,everywhere,בכל מקום
949,evidence,עֵדוּת
950,evolution,אבולוציה
951,evolve,לְהִתְפַּתֵחַ
952,exact,מְדוּיָק
953,exactly,בְּדִיוּק
954,examination,בְּדִיקָה
955,examine,לִבחוֹן
956,example,דוגמא
957,exceed,עולה על
958,excellent,מְעוּלֶה
959,except,מלבד
960,exception,יוצא מן הכלל
961,exchange,לְהַחלִיף
962,exciting,מְרַגֵשׁ
963,executive,מְנַהֵל
964,exercise,תרגיל
965,exhibit,לְהַצִיג
966,exhibition,תערוכה
967,exist,קיימים
968,existence,קִיוּם
969,existing,קיים
970,expand,לְהַרְחִיב
971,expansion,הַרחָבָה
972,expect,לְצַפּוֹת
973,expectation,תוֹחֶלֶת
974,expense,הוֹצָאָה
975,expensive,יָקָר
976,experience,ניסיון
977,experiment,לְנַסוֹת
978,expert,מוּמחֶה
979,explain,להסביר
980,explanation,הֶסבֵּר
981,explode,לְהִתְפּוֹצֵץ
982,explore,לַחקוֹר
983,explosion,הִתְפּוֹצְצוּת
984,expose,לַחשׂוֹף
985,exposure,חשיפה
986,express,אֶקְסְפּרֶס
987,expression,ביטוי
988,extend,לְהַאֲרִיך
989,extension,סיומת
990,extensive,נִרחָב
991,extent,מידה
992,external,חיצוני
993,extra,תוֹסֶפֶת
994,extraordinary,יוצאת דופן
995,extreme,קיצוני
996,extremely,מְאוֹד
997,eye,עַיִן
998,fabric,בד
999,face,פָּנִים
1000,facility,מִתקָן
1001,fact,עוּבדָה
1002,factor,גורם
1003,factory,בית חרושת
1004,faculty,סגל
1005,fade,לִדעוֹך
1006,fail,לְהִכָּשֵׁל
1007,failure,כישלון
1008,fair,יריד
1009,fairly,לְמַדַי
1010,faith,אֱמוּנָה
1011,fall,נפילה
1012,FALSE,שֶׁקֶר
1013,familiar,מוּכָּר
1014,family,מִשׁפָּחָה
1015,famous,מפורסם
1016,fan,אוהד
1017,fantasy,פנטזיה
1018,far,רָחוֹק
1019,farm,חווה חקלאית
1020,farmer,חַקלאַי
1021,fashion,אופנה
1022,fast,מָהִיר
1023,fat,שמן
1024,fate,גוֹרָל
1025,father,אַבָּא
1026,fault,אשמה
1027,favor,טוֹבָה
1028,favorite,אהוב
1029,fear,פַּחַד
1030,feature,תכונה
1031,federal,פדרלי
1032,fee,תַשְׁלוּם
1033,feed,הזנה
1034,feel,להרגיש
1035,feeling,מַרגִישׁ
1036,fellow,עָמִית
1037,female,נְקֵבָה
1038,fence,גָדֵר
1039,few,מְעַטִים
1040,fewer,פחות
1041,fiber,סִיב
1042,fiction,ספרות בדיונית
1043,field,שדה
1044,fifteen,חֲמֵשׁ עֶשׂרֵה
1045,fifth,חמישי
1046,fifty,חמישים
1047,fight,מַאֲבָק
1048,fighter,לוֹחֶם
1049,fighting,לְחִימָה
1050,figure,דמות
1051,file,קוֹבֶץ
1052,fill,למלא
1053,film,סרט צילום
1054,final,סופי
1055,finally,סוף כל סוף
1056,finance,לְמַמֵן
1057,financial,כַּספִּי
